airport_abbr,latitude,longitude,country
LATI,41.4146995544,19.7206001282,Albania
LOWG,46.9911003112793,15.439599990844727,Austria
LOWI,47.260201,11.344,Austria
LOWK,46.642502,14.3377,Austria
LOWL,48.2332,14.1875,Austria
LOWS,47.793300628699996,13.0043001175,Austria
LOWW,48.110298156738,16.569700241089,Austria
EBAW,51.1893997192,4.46027994156,Belgium
EBBR,50.901401519800004,4.48443984985,Belgium
EBCI,50.459202,4.45382,Belgium
EBLG,50.63740158081055,5.443220138549805,Belgium
EBOS,51.198898315399994,2.8622200489,Belgium
LQSA,43.82460021972656,18.331499099731445,Bosnia and Herzegovina
LQTZ,44.45869827270508,18.72480010986328,Bosnia and Herzegovina
LBBG,42.56959915161133,27.515199661254883,Bulgaria
LBSF,42.696693420410156,23.411436080932617,Bulgaria
LBWN,43.232101,27.8251,Bulgaria
LDDU,42.5614013671875,18.268199920654297,Croatia
LDPL,44.89350128173828,13.922200202941895,Croatia
LDSP,43.53889846801758,16.29800033569336,Croatia
LDZD,44.108299,15.3467,Croatia
LDZA,45.7429008484,16.0687999725,Croatia
LCLK,34.875099182128906,33.624900817871094,Cyprus
LCPH,34.71799850463867,32.48569869995117,Cyprus
LKTB,49.15129852294922,16.694400787353516,Czech Republic
LKPR,50.1008,14.26,Czech Republic
EKYT,57.0927589138,9.84924316406,Denmark
EKAH,56.2999992371,10.619000434899998,Denmark
EKBI,55.7402992249,9.15178012848,Denmark
EKCH,55.617900848389,12.656000137329,Denmark
EKVG,62.0635986328125,-7.277219772338867,Faroe Islands
EETN,59.41329956049999,24.832799911499997,Estonia
EFHK,60.317199707031,24.963300704956,Finland
EFOU,64.930099487305,25.354600906372,Finland
EFRO,66.564796447754,25.830400466919,Finland
EFTP,61.414100646973,23.604400634766,Finland
EFTU,60.514099121094,22.262800216675,Finland
EFVA,63.050701141357,21.762199401855,Finland
LFKJ,41.92359924316406,8.8029203414917,France
LFKB,42.55270004272461,9.48373031616211,France
LFBE,44.82529830932617,0.5186110138893127,France
LFBZ,43.4683333,-1.5311111,France
LFBD,44.828300476100004,-0.715556025505,France
LFRB,48.447898864746094,-4.418540000915527,France
LFKF,41.5005989074707,9.097780227661133,France
LFQQ,50.563332,3.086886,France
LFLL,45.725556,5.081111,France
LFML,43.439271922,5.22142410278,France
LFMT,43.57619857788086,3.96301007270813,France
LFRS,47.153198242200006,-1.61073005199,France
LFMN,43.6584014893,7.215869903560001,France
LFOB,49.45439910888672,2.1127800941467285,France
LFPG,49.012798,2.55,France
LFPO,48.7233333,2.3794444,France
LFST,48.538299560546875,7.628230094909668,France
LFRN,48.069499969499994,-1.73478996754,France
FMEE,-20.887100219726562,55.51029968261719,Reunion
LFTH,43.0973014832,6.14602994919,France
LFBO,43.629101,1.36382,France
EDJA,47.988800048799995,10.2395000458,Germany
EDDB,52.380001,13.5225,Germany
EDDT,52.5597,13.2877,Germany
EDDW,53.0475006104,8.78666973114,Germany
EDDK,50.8658981323,7.1427397728,Germany
EDLW,51.51829910279999,7.61223983765,Germany
EDDC,51.1328010559082,13.767200469970703,Germany
EDDL,51.289501,6.76678,Germany
EDDF,50.033333,8.570556,Germany
EDFH,49.9487,7.26389,Germany
EDNY,47.671298980699994,9.51148986816,Germany
EDDH,53.630401611328,9.9882297515869,Germany
EDDV,52.461101532,9.685079574580001,Germany
EDSB,48.7793998718,8.08049964905,Germany
EDDP,51.423889,12.236389,Germany
EDDM,48.353802,11.7861,Germany
EDDG,52.134601593,7.68483018875,Germany
EDDN,49.498699,11.078056,Germany
